Quarter,Minute,Second,Down,ToGo,YardLine,SeriesFirstDown,Formation,YardLineDirection,PlayType
1,6,56,3,9,34,0,SHOTGUN,OWN,PASS
1,6,2,2,12,11,0,SHOTGUN,OWN,PASS
1,5,17,3,7,16,0,SHOTGUN,OWN,PASS
1,4,15,2,7,70,0,UNDER CENTER,OPP,PASS
1,4,9,3,7,70,1,SHOTGUN,OPP,PASS
1,3,19,1,10,77,1,SHOTGUN,OPP,PASS
1,1,15,1,10,25,0,SHOTGUN,OWN,PASS
2,15,0,3,9,26,1,SHOTGUN,OWN,PASS
2,14,1,1,20,39,0,SHOTGUN,OWN,PASS
2,13,53,1,10,42,1,SHOTGUN,OWN,PASS
2,9,1,1,10,13,0,UNDER CENTER,OWN,PASS
2,8,14,3,3,20,1,SHOTGUN,OWN,PASS
2,7,37,1,10,32,1,UNDER CENTER,OWN,PASS
2,7,26,1,10,25,0,SHOTGUN,OWN,PASS
2,5,23,1,10,15,0,UNDER CENTER,OWN,PASS
2,2,5,2,11,24,1,NO HUDDLE SHOTGUN,OWN,PASS
2,1,57,1,10,35,0,SHOTGUN,OWN,PASS
2,1,38,2,5,40,1,NO HUDDLE SHOTGUN,OWN,PASS
2,1,17,1,10,48,0,NO HUDDLE SHOTGUN,OWN,PASS
3,14,55,1,10,10,0,SHOTGUN,OWN,PASS
3,12,57,2,11,22,1,SHOTGUN,OWN,PASS
3,11,31,2,10,33,0,SHOTGUN,OWN,PASS
3,10,1,2,7,20,1,UNDER CENTER,OWN,PASS
3,7,24,1,10,25,0,SHOTGUN,OWN,PASS
3,6,39,3,3,32,1,NO HUDDLE SHOTGUN,OWN,PASS
3,5,30,2,18,31,0,SHOTGUN,OWN,PASS
3,5,25,3,18,31,0,SHOTGUN,OWN,PASS
3,4,45,1,10,15,0,SHOTGUN,OWN,PASS
3,2,18,3,4,36,1,SHOTGUN,OWN,PASS
3,1,29,1,10,45,0,UNDER CENTER,OWN,PASS
3,0,38,2,7,48,1,SHOTGUN,OWN,PASS
4,12,12,1,10,25,0,SHOTGUN,OWN,PASS
4,11,47,1,20,15,0,SHOTGUN,OWN,PASS
4,10,59,3,4,31,0,SHOTGUN,OWN,PASS
4,8,57,2,7,48,0,SHOTGUN,OWN,PASS
4,8,18,3,9,46,0,SHOTGUN,OWN,PASS
4,5,20,3,6,26,1,SHOTGUN,OWN,PASS
4,3,50,2,8,42,0,SHOTGUN,OWN,PASS
4,3,12,3,8,42,1,SHOTGUN,OWN,PASS
1,3,59,1,10,24,1,UNDER CENTER,OWN,PASS
1,3,14,1,10,36,0,UNDER CENTER,OWN,PASS
1,2,38,2,9,37,1,SHOTGUN,OWN,PASS
2,13,32,1,10,27,1,UNDER CENTER,OWN,PASS
2,9,25,3,18,18,0,SHOTGUN,OWN,PASS
2,8,51,1,10,36,1,UNDER CENTER,OWN,PASS
2,3,37,3,13,24,1,SHOTGUN,OWN,PASS
2,2,22,2,6,46,1,SHOTGUN,OWN,PASS
2,1,17,1,10,14,1,SHOTGUN,OWN,PASS
2,0,54,1,10,34,0,SHOTGUN,OWN,PASS
2,0,49,2,10,34,0,SHOTGUN,OWN,PASS
2,0,45,3,10,34,0,SHOTGUN,OWN,PASS
3,14,56,1,10,10,0,UNDER CENTER,OWN,PASS
3,14,23,2,9,11,1,SHOTGUN,OWN,PASS
3,14,8,1,10,24,0,UNDER CENTER,OWN,PASS
3,13,37,2,8,26,0,SHOTGUN,OWN,PASS
3,12,56,3,1,33,1,UNDER CENTER,OWN,PASS
3,12,14,1,10,41,0,UNDER CENTER,OWN,PASS
3,11,46,1,20,31,0,SHOTGUN,OWN,PASS
3,11,26,1,30,21,1,SHOTGUN,OWN,PASS
3,1,26,2,6,33,1,UNDER CENTER,OWN,PASS
4,12,58,1,10,23,1,UNDER CENTER,OWN,PASS
4,9,6,2,6,27,0,UNDER CENTER,OWN,PASS
4,7,33,1,10,30,0,SHOTGUN,OWN,PASS
4,4,30,2,8,35,1,SHOTGUN,OWN,PASS
4,3,46,1,10,34,1,SHOTGUN,OWN,PASS
4,0,23,1,10,20,0,SHOTGUN,OWN,PASS
1,14,56,1,10,21,0,SHOTGUN,OWN,PASS
1,14,24,3,9,22,0,NO HUDDLE SHOTGUN,OWN,PASS
1,13,36,2,7,30,0,SHOTGUN,OWN,PASS
1,13,1,3,1,36,1,UNDER CENTER,OWN,PASS
1,9,2,2,6,13,0,NO HUDDLE,OWN,PASS
1,8,58,3,6,13,1,SHOTGUN,OWN,PASS
1,6,47,3,5,36,0,SHOTGUN,OWN,PASS
1,6,28,1,10,31,1,UNDER CENTER,OWN,PASS
1,5,57,1,10,47,0,UNDER CENTER,OWN,PASS
1,2,51,2,6,29,1,NO HUDDLE SHOTGUN,OWN,PASS
2,13,7,3,11,24,0,SHOTGUN,OWN,PASS
2,9,32,3,5,30,0,SHOTGUN,OWN,PASS
2,9,21,1,10,40,0,SHOTGUN,OWN,PASS
2,8,52,2,1,49,0,NO HUDDLE SHOTGUN,OWN,PASS
2,2,0,2,10,14,0,SHOTGUN,OWN,PASS
2,1,31,3,4,20,1,NO HUDDLE SHOTGUN,OWN,PASS
2,0,31,1,10,34,0,SHOTGUN,OWN,PASS
2,0,21,2,5,39,0,SHOTGUN,OWN,PASS
2,0,14,3,5,39,1,SHOTGUN,OWN,PASS
3,15,0,1,10,25,0,UNDER CENTER,OWN,PASS
3,13,49,3,2,33,1,SHOTGUN,OWN,PASS
3,5,39,2,9,27,0,SHOTGUN,OWN,PASS
3,4,47,1,10,25,1,SHOTGUN,OWN,PASS
3,1,13,1,10,33,1,SHOTGUN,OWN,PASS
3,0,30,1,10,45,0,SHOTGUN,OWN,PASS
4,11,52,1,10,27,0,SHOTGUN,OWN,PASS
4,11,17,2,6,31,1,SHOTGUN,OWN,PASS
4,5,42,2,14,32,0,SHOTGUN,OWN,PASS
4,3,56,2,7,45,0,SHOTGUN,OWN,PASS
4,3,51,3,7,45,1,SHOTGUN,OWN,PASS
4,0,33,3,1,44,1,SHOTGUN,OWN,PASS
1,14,19,2,1,34,1,UNDER CENTER,OWN,PASS
1,6,8,1,10,30,0,UNDER CENTER,OWN,PASS
1,3,56,2,5,34,0,SHOTGUN,OWN,PASS
1,3,52,3,5,34,0,SHOTGUN,OWN,PASS
1,2,12,3,2,29,0,SHOTGUN,OWN,PASS
1,0,27,3,5,41,1,SHOTGUN,OWN,PASS
1,0,16,1,10,25,0,SHOTGUN,OWN,PASS
2,14,27,1,10,37,0,SHOTGUN,OWN,PASS
2,12,8,2,8,39,0,SHOTGUN,OWN,PASS
2,4,10,1,10,11,0,UNDER CENTER,OWN,PASS
2,3,17,3,9,12,0,SHOTGUN,OWN,PASS
2,2,59,1,10,37,0,UNDER CENTER,OWN,PASS
2,2,17,3,7,40,0,SHOTGUN,OWN,PASS
2,1,58,2,4,26,1,SHOTGUN,OWN,PASS
2,1,38,1,10,32,1,NO HUDDLE SHOTGUN,OWN,PASS
2,1,23,2,15,44,0,SHOTGUN,OWN,PASS
2,1,15,3,20,39,0,SHOTGUN,OWN,PASS
2,1,2,1,10,9,0,UNDER CENTER,OWN,PASS
3,8,24,2,8,37,0,UNDER CENTER,OWN,PASS
3,8,15,3,8,37,0,SHOTGUN,OWN,PASS
3,6,40,3,4,41,1,SHOTGUN,OWN,PASS
4,14,21,3,11,24,0,SHOTGUN,OWN,PASS
4,12,45,2,11,26,1,SHOTGUN,OWN,PASS
4,4,28,2,9,26,0,NO HUDDLE SHOTGUN,OWN,PASS
4,3,56,3,9,26,0,SHOTGUN,OWN,PASS
4,3,20,3,9,41,0,SHOTGUN,OWN,PASS
4,3,5,1,10,2,0,UNDER CENTER,OWN,PASS
4,3,0,2,10,2,0,SHOTGUN,OWN,PASS
4,2,56,3,10,2,0,SHOTGUN,OWN,PASS
4,1,53,1,10,20,0,SHOTGUN,OWN,PASS
4,1,26,2,1,29,1,SHOTGUN,OWN,PASS
4,1,7,2,10,31,1,SHOTGUN,OWN,PASS
1,15,0,1,10,25,0,UNDER CENTER,OWN,PASS
1,14,55,2,10,25,0,SHOTGUN,OWN,PASS
1,14,35,2,5,30,0,UNDER CENTER,OWN,PASS
1,14,31,3,5,30,0,SHOTGUN,OWN,PASS
1,13,12,2,9,21,0,SHOTGUN,OWN,PASS
1,12,27,3,6,24,1,SHOTGUN,OWN,PASS
1,6,55,1,10,8,0,UNDER CENTER,OWN,PASS
1,5,45,1,10,24,0,UNDER CENTER,OWN,PASS
1,5,39,2,10,24,0,SHOTGUN,OWN,PASS
1,4,59,3,2,32,0,SHOTGUN,OWN,PASS
1,4,0,2,10,18,0,SHOTGUN,OWN,PASS
1,3,56,3,10,18,1,SHOTGUN,OWN,PASS
1,3,18,1,10,45,1,UNDER CENTER,OWN,PASS
2,14,21,1,10,42,0,SHOTGUN,OWN,PASS
2,13,42,2,8,44,0,UNDER CENTER,OWN,PASS
2,13,3,3,5,47,0,SHOTGUN,OWN,PASS
2,12,58,4,5,47,1,UNDER CENTER,OWN,PASS
2,11,21,2,8,15,0,SHOTGUN,OWN,PASS
2,11,16,3,8,15,1,SHOTGUN,OWN,PASS
2,9,17,2,20,32,0,SHOTGUN,OWN,PASS
2,6,53,1,10,16,1,SHOTGUN,OWN,PASS
2,5,37,2,7,29,0,UNDER CENTER,OWN,PASS
2,5,31,3,7,29,1,SHOTGUN,OWN,PASS
2,2,35,1,10,42,0,SHOTGUN,OWN,PASS
2,2,31,2,10,42,0,SHOTGUN,OWN,PASS
2,2,24,3,10,42,1,SHOTGUN,OWN,PASS
2,1,55,1,15,48,0,SHOTGUN,OWN,PASS
2,0,56,1,10,9,0,SHOTGUN,OWN,PASS
2,0,25,3,5,14,0,SHOTGUN,OWN,PASS
2,0,19,1,10,19,0,SHOTGUN,OWN,PASS
3,15,0,1,10,25,1,UNDER CENTER,OWN,PASS
3,9,31,2,5,30,0,SHOTGUN,OWN,PASS
3,8,50,3,2,33,0,SHOTGUN,OWN,PASS
3,8,38,1,10,22,0,SHOTGUN,OWN,PASS
3,6,36,2,6,38,1,UNDER CENTER,OWN,PASS
3,5,10,2,7,48,0,UNDER CENTER,OWN,PASS
3,2,17,1,10,26,0,SHOTGUN,OWN,PASS
3,1,1,3,1,35,0,SHOTGUN,OWN,PASS
3,0,24,1,10,46,0,SHOTGUN,OWN,PASS
4,15,0,2,10,46,1,SHOTGUN,OWN,PASS
4,12,11,1,10,28,1,SHOTGUN,OWN,PASS
4,11,26,1,10,45,0,SHOTGUN,OWN,PASS
4,6,42,1,10,26,1,UNDER CENTER,OWN,PASS
4,6,38,2,10,26,1,SHOTGUN,OWN,PASS
4,4,48,3,4,47,0,SHOTGUN,OWN,PASS
4,3,38,2,7,23,0,UNDER CENTER,OWN,PASS
4,3,33,3,6,24,1,SHOTGUN,OWN,PASS
4,1,51,1,10,8,0,SHOTGUN,OWN,PASS
4,1,28,2,5,13,1,SHOTGUN,OWN,PASS
4,0,37,2,16,45,0,SHOTGUN,OWN,PASS
1,14,24,2,11,14,0,SHOTGUN,OWN,PASS
1,14,18,3,11,14,0,SHOTGUN,OWN,PASS
1,9,2,1,10,45,0,SHOTGUN,OWN,PASS
1,7,24,2,9,15,0,SHOTGUN,OWN,PASS
1,7,19,3,9,15,1,SHOTGUN,OWN,PASS
1,6,41,1,10,25,1,UNDER CENTER,OWN,PASS
1,5,25,2,9,42,1,UNDER CENTER,OWN,PASS
1,2,49,1,10,30,0,UNDER CENTER,OWN,PASS
1,1,58,1,10,32,0,UNDER CENTER,OWN,PASS
1,1,52,2,15,27,1,SHOTGUN,OWN,PASS
2,12,7,1,10,25,1,SHOTGUN,OWN,PASS
2,10,45,2,9,38,0,SHOTGUN,OWN,PASS
2,8,42,1,10,25,0,SHOTGUN,OWN,PASS
2,7,53,3,10,25,0,SHOTGUN,OWN,PASS
2,7,40,1,10,25,1,UNDER CENTER,OWN,PASS
2,2,7,2,7,19,1,SHOTGUN,OWN,PASS
2,1,58,1,10,41,1,SHOTGUN,OWN,PASS
2,0,56,2,5,76,0,SHOTGUN,OPP,PASS
2,0,50,3,5,76,1,SHOTGUN,OPP,PASS
2,0,45,1,10,85,0,SHOTGUN,OPP,PASS
2,0,35,1,10,7,0,SHOTGUN,OWN,PASS
3,14,16,2,3,37,1,UNDER CENTER,OWN,PASS
3,13,36,1,10,46,1,UNDER CENTER,OWN,PASS
3,11,20,1,10,25,1,SHOTGUN,OWN,PASS
3,10,46,1,10,36,0,SHOTGUN,OWN,PASS
3,10,42,2,10,36,0,SHOTGUN,OWN,PASS
3,10,5,3,5,41,0,SHOTGUN,OWN,PASS
3,10,0,4,5,41,0,SHOTGUN,OWN,PASS
3,4,49,2,4,30,0,SHOTGUN,OWN,PASS
3,4,4,3,5,29,1,SHOTGUN,OWN,PASS
3,2,34,2,18,29,0,UNDER CENTER,OWN,PASS
3,1,50,3,6,41,0,SHOTGUN,OWN,PASS
3,0,10,3,2,21,1,SHOTGUN,OWN,PASS
4,13,15,1,10,25,0,SHOTGUN,OWN,PASS
4,12,43,2,4,31,0,NO HUDDLE SHOTGUN,OWN,PASS
4,12,37,3,4,31,0,SHOTGUN,OWN,PASS
4,11,52,4,1,34,0,SHOTGUN,OWN,PASS
4,6,17,2,3,32,0,NO HUDDLE SHOTGUN,OWN,PASS
4,6,12,3,3,32,1,SHOTGUN,OWN,PASS
4,5,45,1,10,39,0,NO HUDDLE SHOTGUN,OWN,PASS
4,5,39,2,10,39,0,SHOTGUN,OWN,PASS
4,3,7,1,10,35,0,SHOTGUN,OWN,PASS
4,2,2,3,2,43,1,NO HUDDLE SHOTGUN,OWN,PASS
1,14,20,2,4,37,1,SHOTGUN,OWN,PASS
1,11,36,2,8,22,0,SHOTGUN,OWN,PASS
1,10,14,1,10,20,0,UNDER CENTER,OWN,PASS
1,9,1,3,1,29,0,SHOTGUN,OWN,PASS
1,7,26,2,6,46,0,SHOTGUN,OWN,PASS
1,7,20,3,6,46,0,SHOTGUN,OWN,PASS
2,13,10,1,10,25,0,SHOTGUN,OWN,PASS
2,12,23,3,11,24,0,SHOTGUN,OWN,PASS
2,8,28,1,10,26,0,SHOTGUN,OWN,PASS
2,3,37,1,10,25,0,SHOTGUN,OWN,PASS
2,3,33,2,10,25,0,SHOTGUN,OWN,PASS
2,2,23,1,10,35,0,NO HUDDLE SHOTGUN,OWN,PASS
2,2,0,2,8,37,0,SHOTGUN,OWN,PASS
2,1,55,3,8,37,0,SHOTGUN,OWN,PASS
2,1,41,1,10,20,0,SHOTGUN,OWN,PASS
2,1,16,1,10,37,1,SHOTGUN,OWN,PASS
2,0,41,1,10,20,0,SHOTGUN,OWN,PASS
2,0,36,2,1,29,1,NO HUDDLE SHOTGUN,OWN,PASS
2,0,32,1,10,36,1,NO HUDDLE SHOTGUN,OWN,PASS
2,0,27,1,10,47,0,NO HUDDLE SHOTGUN,OWN,PASS
3,14,21,2,8,27,0,SHOTGUN,OWN,PASS
3,13,38,3,5,30,0,SHOTGUN,OWN,PASS
3,10,43,1,10,45,0,SHOTGUN,OWN,PASS
3,2,4,1,15,16,0,SHOTGUN,OWN,PASS
3,1,31,2,9,22,0,SHOTGUN,OWN,PASS
4,15,0,3,11,24,0,SHOTGUN,OWN,PASS
4,14,14,1,10,17,0,SHOTGUN,OWN,PASS
4,13,41,2,7,20,0,SHOTGUN,OWN,PASS
4,10,21,1,10,29,1,SHOTGUN,OWN,PASS
4,9,48,1,10,39,0,SHOTGUN,OWN,PASS
4,9,9,2,4,45,1,SHOTGUN,OWN,PASS
4,7,45,3,18,45,0,SHOTGUN,OWN,PASS
4,5,19,3,11,43,0,SHOTGUN,OWN,PASS
4,5,6,1,10,20,0,SHOTGUN,OWN,PASS
4,4,32,2,5,25,0,NO HUDDLE SHOTGUN,OWN,PASS
4,4,24,1,10,44,0,SHOTGUN,OWN,PASS
4,1,42,1,10,32,0,SHOTGUN,OWN,PASS
4,1,39,2,4,38,1,NO HUDDLE SHOTGUN,OWN,PASS
1,14,26,2,5,30,0,UNDER CENTER,OWN,PASS
1,14,21,1,10,38,0,SHOTGUN,OWN,PASS
1,14,0,2,4,44,1,NO HUDDLE SHOTGUN,OWN,PASS
3,13,3,2,14,32,0,SHOTGUN,OWN,PASS
1,11,30,1,18,21,0,SHOTGUN,OWN,PASS
1,10,49,2,14,25,0,SHOTGUN,OWN,PASS
1,10,13,3,8,31,0,SHOTGUN,OWN,PASS
1,9,56,1,10,17,0,SHOTGUN,OWN,PASS
1,9,29,2,5,22,0,NO HUDDLE,OWN,PASS
1,9,21,1,10,27,0,UNDER CENTER,OWN,PASS
1,9,16,2,10,27,1,SHOTGUN,OWN,PASS
1,8,33,1,10,41,1,SHOTGUN,OWN,PASS
1,5,30,1,10,25,0,SHOTGUN,OWN,PASS
1,2,48,2,8,18,1,SHOTGUN,OWN,PASS
1,2,24,1,10,33,0,NO HUDDLE,OWN,PASS
2,14,17,2,7,28,0,SHOTGUN,OWN,PASS
2,13,34,3,2,33,1,SHOTGUN,OWN,PASS
2,5,39,2,6,14,1,SHOTGUN,OWN,PASS
2,5,13,1,10,35,0,NO HUDDLE,OWN,PASS
2,4,25,3,6,39,0,SHOTGUN,OWN,PASS
2,3,29,2,7,6,0,SHOTGUN,OWN,PASS
2,3,8,3,1,12,1,SHOTGUN,OWN,PASS
2,1,43,1,10,31,0,SHOTGUN,OWN,PASS
2,1,22,2,5,36,1,NO HUDDLE SHOTGUN,OWN,PASS
2,1,4,1,10,44,0,NO HUDDLE SHOTGUN,OWN,PASS
2,0,42,2,5,49,1,NO HUDDLE SHOTGUN,OWN,PASS
3,14,55,1,10,29,1,SHOTGUN,OWN,PASS
3,10,10,2,5,41,1,SHOTGUN,OWN,PASS
3,7,4,1,10,35,1,UNDER CENTER,OWN,PASS
3,2,24,1,10,25,1,SHOTGUN,OWN,PASS
3,12,57,3,14,32,0,SHOTGUN,OWN,PASS
3,1,21,3,9,25,0,SHOTGUN,OWN,PASS
4,14,31,2,30,38,0,SHOTGUN,OWN,PASS
4,13,32,1,10,9,0,SHOTGUN,OWN,PASS
4,12,51,2,3,16,1,SHOTGUN,OWN,PASS
4,12,15,1,10,27,0,UNDER CENTER,OWN,PASS
4,11,20,2,11,14,0,SHOTGUN,OWN,PASS
4,10,47,2,5,30,1,UNDER CENTER,OWN,PASS
4,9,38,1,10,25,0,SHOTGUN,OWN,PASS
4,9,0,2,6,29,0,SHOTGUN,OWN,PASS
4,8,21,3,3,32,0,SHOTGUN,OWN,PASS
4,7,45,2,10,16,0,NO HUDDLE,OWN,PASS
4,7,42,3,10,16,0,SHOTGUN,OWN,PASS
4,4,37,4,2,43,1,SHOTGUN,OWN,PASS
4,2,19,2,9,26,0,SHOTGUN,OWN,PASS
4,2,13,3,9,26,1,SHOTGUN,OWN,PASS
4,2,7,1,10,48,0,SHOTGUN,OWN,PASS
4,1,44,1,10,26,0,SHOTGUN,OWN,PASS
4,1,40,2,10,26,0,SHOTGUN,OWN,PASS
4,1,35,3,10,26,1,SHOTGUN,OWN,PASS
4,1,18,1,15,30,0,UNDER CENTER,OWN,PASS
4,1,11,2,11,34,0,UNDER CENTER,OWN,PASS
4,1,8,3,11,34,0,SHOTGUN,OWN,PASS
4,0,50,1,10,12,0,SHOTGUN,OWN,PASS
4,0,46,2,10,12,0,SHOTGUN,OWN,PASS
4,0,30,3,2,20,1,NO HUDDLE SHOTGUN,OWN,PASS
4,0,25,1,10,26,0,SHOTGUN,OWN,PASS
1,14,21,2,8,27,0,SHOTGUN,OWN,PASS
1,13,40,3,4,31,0,SHOTGUN,OWN,PASS
1,13,9,1,10,28,0,SHOTGUN,OWN,PASS
1,12,31,2,4,34,0,SHOTGUN,OWN,PASS
1,12,25,3,4,34,0,SHOTGUN,OWN,PASS
1,11,35,2,9,19,1,SHOTGUN,OWN,PASS
1,10,47,1,10,37,0,SHOTGUN,OWN,PASS
1,9,33,3,2,45,1,SHOTGUN,OWN,PASS
1,9,1,1,10,48,0,SHOTGUN,OWN,PASS
1,8,22,2,11,47,0,SHOTGUN,OWN,PASS
1,8,16,3,11,47,0,SHOTGUN,OWN,PASS
1,7,7,2,9,14,1,SHOTGUN,OWN,PASS
1,6,34,1,10,24,1,SHOTGUN,OWN,PASS
1,4,42,2,21,24,0,SHOTGUN,OWN,PASS
1,4,4,3,17,28,0,SHOTGUN,OWN,PASS
1,3,21,1,10,16,0,SHOTGUN,OWN,PASS
1,2,57,2,5,21,0,NO HUDDLE SHOTGUN,OWN,PASS
1,2,17,3,1,25,0,UNDER CENTER,OWN,PASS
1,2,0,1,10,37,0,SHOTGUN,OWN,PASS
2,8,28,2,7,28,1,SHOTGUN,OWN,PASS
2,7,11,2,7,38,1,SHOTGUN,OWN,PASS
2,5,35,3,13,48,1,SHOTGUN,OWN,PASS
2,3,11,2,8,27,0,SHOTGUN,OWN,PASS
2,2,10,1,10,35,1,SHOTGUN,OWN,PASS
2,2,0,1,10,46,0,SHOTGUN,OWN,PASS
2,0,40,1,10,25,1,SHOTGUN,OWN,PASS
2,0,35,1,10,36,0,SHOTGUN,OWN,PASS
2,0,31,2,10,36,0,SHOTGUN,OWN,PASS
2,0,26,3,7,39,0,SHOTGUN,OWN,PASS
3,15,0,1,10,25,0,SHOTGUN,OWN,PASS
3,13,40,1,10,36,0,SHOTGUN,OWN,PASS
3,13,0,2,5,41,1,SHOTGUN,OWN,PASS
3,9,35,1,10,18,0,UNDER CENTER,OWN,PASS
3,8,11,1,10,30,0,SHOTGUN,OWN,PASS
3,7,23,3,5,35,0,SHOTGUN,OWN,PASS
3,6,36,1,10,46,0,SHOTGUN,OWN,PASS
3,4,51,3,11,45,0,SHOTGUN,OWN,PASS
3,4,2,2,2,28,1,UNDER CENTER,OWN,PASS
3,1,28,1,10,18,0,SHOTGUN,OWN,PASS
3,0,52,1,10,42,0,UNDER CENTER,OWN,PASS
3,0,46,2,10,42,0,SHOTGUN,OWN,PASS
3,0,6,3,3,49,1,SHOTGUN,OWN,PASS
4,13,6,2,9,26,1,SHOTGUN,OWN,PASS
4,12,27,1,10,37,0,UNDER CENTER,OWN,PASS
4,11,9,3,3,44,1,SHOTGUN,OWN,PASS
4,7,44,1,10,25,0,SHOTGUN,OWN,PASS
4,7,38,2,10,25,0,SHOTGUN,OWN,PASS
4,6,9,1,10,41,1,SHOTGUN,OWN,PASS
4,5,26,2,3,32,1,SHOTGUN,OWN,PASS
4,4,50,1,10,36,0,SHOTGUN,OWN,PASS
4,4,45,2,6,40,0,SHOTGUN,OWN,PASS
1,14,27,2,8,27,0,UNDER CENTER,OWN,PASS
1,13,47,3,5,30,1,SHOTGUN,OWN,PASS
1,13,10,1,10,37,1,UNDER CENTER,OWN,PASS
1,10,2,1,10,25,0,UNDER CENTER,OWN,PASS
1,9,57,2,10,25,0,SHOTGUN,OWN,PASS
1,8,28,1,15,14,0,SHOTGUN,OWN,PASS
1,7,44,3,13,16,0,SHOTGUN,OWN,PASS
1,6,52,1,10,23,0,SHOTGUN,OWN,PASS
1,6,20,3,10,23,1,SHOTGUN,OWN,PASS
1,5,12,2,11,42,0,SHOTGUN,OWN,PASS
1,5,6,3,11,42,1,SHOTGUN,OWN,PASS
1,2,54,1,10,27,0,SHOTGUN,OWN,PASS
1,1,39,1,10,41,0,SHOTGUN,OWN,PASS
2,14,11,2,8,11,1,UNDER CENTER,OWN,PASS
2,12,55,2,9,30,0,SHOTGUN,OWN,PASS
2,10,34,2,6,46,0,SHOTGUN,OWN,PASS
2,9,51,3,9,43,0,SHOTGUN,OWN,PASS
2,7,12,1,10,47,1,SHOTGUN,OWN,PASS
2,7,4,1,10,25,0,UNDER CENTER,OWN,PASS
2,5,50,3,2,33,1,SHOTGUN,OWN,PASS
2,4,44,2,6,40,1,UNDER CENTER,OWN,PASS
2,1,28,1,10,25,0,SHOTGUN,OWN,PASS
2,1,21,2,10,25,0,SHOTGUN,OWN,PASS
2,1,2,1,10,40,1,SHOTGUN,OWN,PASS
2,0,30,3,17,47,0,SHOTGUN,OWN,PASS
3,14,22,2,5,30,0,SHOTGUN,OWN,PASS
3,14,16,3,5,30,0,SHOTGUN,OWN,PASS
3,13,31,2,9,36,0,SHOTGUN,OWN,PASS
3,11,30,2,8,10,0,SHOTGUN,OWN,PASS
3,10,49,3,9,9,0,SHOTGUN,OWN,PASS
3,9,2,1,10,25,1,UNDER CENTER,OWN,PASS
3,8,27,1,10,36,0,SHOTGUN,OWN,PASS
3,6,9,2,7,28,1,SHOTGUN,OWN,PASS
3,5,29,1,10,38,1,SHOTGUN,OWN,PASS
3,2,27,2,9,10,1,SHOTGUN,OWN,PASS
3,2,10,1,10,25,0,SHOTGUN,OWN,PASS
3,1,38,2,1,34,1,SHOTGUN,OWN,PASS
4,8,50,3,6,38,0,SHOTGUN,OWN,PASS
4,5,27,1,10,33,0,SHOTGUN,OWN,PASS
4,4,56,2,1,42,1,NO HUDDLE SHOTGUN,OWN,PASS
4,4,7,3,10,14,0,SHOTGUN,OWN,PASS
4,3,50,1,10,46,0,SHOTGUN,OWN,PASS
1,14,25,1,10,43,0,SHOTGUN,OWN,PASS
1,10,34,2,11,24,1,SHOTGUN,OWN,PASS
1,9,57,1,10,37,0,SHOTGUN,OWN,PASS
1,9,27,3,10,37,1,SHOTGUN,OWN,PASS
1,6,27,1,10,13,0,UNDER CENTER,OWN,PASS
1,6,22,2,10,13,0,SHOTGUN,OWN,PASS
1,5,44,3,4,19,0,SHOTGUN,OWN,PASS
2,7,47,3,14,21,0,SHOTGUN,OWN,PASS
2,6,54,2,5,47,1,SHOTGUN,OWN,PASS
2,3,20,1,10,25,1,UNDER CENTER,OWN,PASS
3,14,15,2,12,38,0,SHOTGUN,OWN,PASS
3,13,35,3,10,40,0,SHOTGUN,OWN,PASS
3,12,53,4,2,48,0,SHOTGUN,OWN,PASS
3,12,1,2,13,49,0,UNDER CENTER,OWN,PASS
3,11,7,1,10,9,0,UNDER CENTER,OWN,PASS
3,8,4,1,10,41,1,UNDER CENTER,OWN,PASS
3,5,55,1,10,21,0,UNDER CENTER,OWN,PASS
3,5,20,2,3,28,1,UNDER CENTER,OWN,PASS
3,4,11,2,6,43,0,SHOTGUN,OWN,PASS
3,3,39,3,2,47,0,SHOTGUN,OWN,PASS
3,3,33,4,2,47,1,SHOTGUN,OWN,PASS
3,2,7,3,13,48,1,SHOTGUN,OWN,PASS
4,15,0,2,8,39,0,SHOTGUN,OWN,PASS
4,14,15,3,3,44,0,SHOTGUN,OWN,PASS
4,13,17,2,1,19,0,SHOTGUN,OWN,PASS
4,12,34,1,10,22,0,SHOTGUN,OWN,PASS
4,9,21,1,10,39,1,SHOTGUN,OWN,PASS
4,8,15,2,17,47,0,SHOTGUN,OWN,PASS
4,6,22,4,12,49,1,SHOTGUN,OWN,PASS
4,3,51,3,2,10,0,SHOTGUN,OWN,PASS
4,3,39,1,10,41,1,SHOTGUN,OWN,PASS
1,14,22,2,8,21,1,NO HUDDLE SHOTGUN,OWN,PASS
1,13,17,1,10,42,0,UNDER CENTER,OWN,PASS
1,11,57,1,10,54,0,UNDER CENTER,OPP,PASS
1,7,36,3,8,33,1,SHOTGUN,OWN,PASS
1,6,2,2,10,43,1,SHOTGUN,OWN,PASS
1,5,26,1,10,68,0,SHOTGUN,OPP,PASS
1,4,28,1,10,25,0,UNDER CENTER,OWN,PASS
1,4,24,2,10,25,0,SHOTGUN,OWN,PASS
1,4,21,3,10,25,0,SHOTGUN,OWN,PASS
1,4,2,1,10,27,1,SHOTGUN,OWN,PASS
1,0,18,2,10,9,0,UNDER CENTER,OWN,PASS
2,15,0,2,14,5,0,UNDER CENTER,OWN,PASS
2,14,17,3,10,9,1,SHOTGUN,OWN,PASS
