Quarter,Minute,Second,Down,ToGo,YardLine,SeriesFirstDown,Formation,YardLineDirection,OffenseTeam,DefenseTeam
4,12,46,2,9,27,0,SHOTGUN,OWN,NO,NYG
4,12,41,3,9,27,1,SHOTGUN,OWN,NO,NYG
4,12,31,1,10,38,1,UNDER CENTER,OWN,NO,NYG
4,6,47,1,10,25,0,SHOTGUN,OWN,NYG,NO
4,6,44,2,10,25,1,SHOTGUN,OWN,NYG,NO
4,6,16,1,10,36,0,NO HUDDLE SHOTGUN,OWN,NYG,NO
4,5,15,3,8,40,1,SHOTGUN,OWN,CLE,BAL
4,5,52,2,3,43,1,NO HUDDLE SHOTGUN,OWN,NYG,NO
4,3,40,1,10,3,1,UNDER CENTER,OWN,NO,NYG
4,2,45,2,8,26,0,SHOTGUN,OWN,NO,NYG
4,2,34,3,8,26,0,SHOTGUN,OWN,NO,NYG
4,2,0,1,10,9,0,SHOTGUN,OWN,NYG,NO
4,1,52,1,10,25,0,SHOTGUN,OWN,NYG,NO
4,1,27,3,4,31,1,NO HUDDLE SHOTGUN,OWN,NYG,NO
4,1,7,1,10,44,0,NO HUDDLE SHOTGUN,OWN,NYG,NO
1,13,58,2,7,39,0,UNDER CENTER,OWN,BAL,PIT
1,13,21,3,3,43,0,SHOTGUN,OWN,BAL,PIT
1,10,45,1,10,25,0,SHOTGUN,OWN,PIT,BAL
1,10,5,2,4,31,0,SHOTGUN,OWN,PIT,BAL
1,10,2,3,4,31,1,SHOTGUN,OWN,PIT,BAL
1,7,32,1,20,11,0,SHOTGUN,OWN,PIT,BAL
1,6,50,3,18,13,0,SHOTGUN,OWN,PIT,BAL
1,5,27,2,9,43,0,SHOTGUN,OWN,BAL,PIT
1,4,44,3,8,44,0,SHOTGUN,OWN,BAL,PIT
1,4,33,1,10,15,0,SHOTGUN,OWN,PIT,BAL
1,4,27,2,10,15,0,SHOTGUN,OWN,PIT,BAL
1,3,22,2,8,22,1,SHOTGUN,OWN,PIT,BAL
2,11,23,1,5,29,0,SHOTGUN,OWN,PIT,BAL
2,10,53,2,1,33,1,SHOTGUN,OWN,PIT,BAL
2,9,34,2,7,48,1,UNDER CENTER,OWN,PIT,BAL
2,6,21,1,10,23,1,SHOTGUN,OWN,BAL,PIT
2,5,44,1,10,36,0,SHOTGUN,OWN,BAL,PIT
2,5,13,2,8,38,0,SHOTGUN,OWN,BAL,PIT
2,5,9,3,8,38,0,SHOTGUN,OWN,BAL,PIT
2,4,48,1,10,24,1,UNDER CENTER,OWN,PIT,BAL
2,4,12,1,10,35,0,SHOTGUN,OWN,PIT,BAL
2,4,8,2,10,35,1,NO HUDDLE SHOTGUN,OWN,PIT,BAL
2,2,0,2,9,24,0,SHOTGUN,OWN,BAL,PIT
2,1,57,3,9,24,1,SHOTGUN,OWN,BAL,PIT
2,1,7,2,16,30,0,NO HUDDLE SHOTGUN,OWN,BAL,PIT
3,13,39,3,3,41,0,SHOTGUN,OWN,PIT,BAL
